title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【爆買い】週末イオンで購入したもの全部紹介します！Ｈ&Ｍ／ミカヅキモモコ／DAISO／古着屋【イオン購入品紹介】【しほりみチャンネル】,/watch?v=oklC_bnk5hY,14048,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,80
大切なものをなくしました…。【しほりみチャンネル】,/watch?v=GEbWZCaWICg,37235,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,213
【ドッキリ】学校から帰ってきたら部屋に○○○〇！！【しほりみチャンネル】,/watch?v=rrRnW5CysnA,13937,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,80
【病院にて】ついに…（入院、点滴、療養）【しほりみチャンネル】,/watch?v=8HEiGab_Bok,22556,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,129
緊急夜間病院へ【しほりみチャンネル】,/watch?v=MbgZOvcGt7s,29458,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,169
【プチプラ】SHOPLISTで１万円！洋服を購入したので紹介します！【ネットショッピング】【しほりみチャンネル】,/watch?v=gC1GmosPJ5s,10590,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,61
「ありがとう」　視聴者さんからのプレゼントを開けるよ(・∀・),/watch?v=5swrBdTLGQQ,8662,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,50
【人生終わった】スマホを変えただけなのに…💦映画ジェクシー! 予告編【しほりみ映画部】,/watch?v=tgPqxg22j60,4309,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,25
【ルーティン】９歳のお誕生日に１日に密着！朝起きてから夜寝るまで(後編)夜の過ごし方／スシロテイクアウト／TikTok撮影裏側など【しほりみチャンネル】,/watch?v=G1_-AdXi58U,14823,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,85
【整理整頓】コスメが汚すぎてママに怒られたので片付けます…。片付けられる気がしない大量コスメを地道に直します（コスメワゴン）【しほりみチャンネル】,/watch?v=nDcxMMOfk0s,26823,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,154
