title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
🎥 21 BRIDGES (2019) | Movie Trailer | Full HD | 1080p,/watch?v=Kbjm_i6TsJg,2816,TRAILER CITY,340000,7か月前,232599,1
🎥 BRAHMS: THE BOY II (2020) | Movie Trailer | Full HD | 1080p,/watch?v=9u3cxg6bAoU,2027,TRAILER CITY,340000,7か月前,232599,1
🎥 ELIZABETH IS MISSING (2019) | Movie Trailer | Full HD | 1080p,/watch?v=xCcnrwZAb4w,3548,TRAILER CITY,340000,7か月前,232599,2
ダークナイト ライジング (2012) | Trailer | Full HD | 1080p,/watch?v=XWS280VZtq8,2257,TRAILER CITY,340000,7か月前,232599,1
ザ・ニュー・ミュータンツ (2020) | Trailer | Full HD | 1080p,/watch?v=pbGQHJxe5YU,641,TRAILER CITY,340000,7か月前,232599,0
🎥 THREE CHRISTS (2020) | Movie Trailer | Full HD | 1080p,/watch?v=7oXoA7sAML4,524,TRAILER CITY,340000,7か月前,232599,0
🎥 SAFE SPACES (2019) | Movie Trailer | Full HD | 1080p,/watch?v=qHCOS9TZn1o,578,TRAILER CITY,340000,7か月前,232599,0
名もなき生涯 (2019) | Trailer | Full HD | 1080p,/watch?v=f6KSlhuwTTs,2176,TRAILER CITY,340000,7か月前,232599,1
🎥 I STILL BELIVE (2020) | Movie Trailer | Full HD | 1080p,/watch?v=YwV-JonXIAo,574,TRAILER CITY,340000,7か月前,232599,0
ラスト・ワールド (2013) | Trailer | Full HD | 1080p,/watch?v=ieQ0rjoxKDo,1654,TRAILER CITY,340000,7か月前,232599,1
トップガン　マーヴェリック (2020) | Trailer | Full HD | 1080p,/watch?v=AgAkniuEhlM,11408,TRAILER CITY,340000,7か月前,232599,5
🎥 I AM HARDWELL (2013) | Movie Trailer | Full HD | 1080p,/watch?v=YZecoXptNLw,778,TRAILER CITY,340000,7か月前,232599,0
🎥 A QUIET PLACE: PART II (2020) | Movie Trailer | Full HD | 1080p,/watch?v=Dw4BUEpiqAM,1403,TRAILER CITY,340000,7か月前,232599,1
