channel_url,channel_name,scrape_at,channel_country,channel_subscriber,mean_view,channel_create_at,all_video_views,instagram,twitter,blog
/user/Epyon757,Epyon757,2020/08/28,,,,,,,,
/channel/UCGmdcjzPo589LmoIeYItKng,anime fights,2020/08/28,,,,,,,,
/channel/UC2LZwIkWaoVCoXFk8BdOaZQ,Mr.K,2020/08/28,,,,,,,,
/channel/UCdMJOaDIlFmZj4mNkQ78Hmw,INDR 忍,2020/08/28,,,,,,,,
/channel/UC7pWlw6zWITmN78OZPgfUeg,Manganime Official,2020/08/28,,,,,,,,
/channel/UCATW15W1DKItVRtP5SDbp9w,ヒロノ【アニメ・漫画考察】,2020/08/28,,,,,,,,
/channel/UCrZGP-SBvdg-Yee2M190fLw,World Of Paper,2020/08/28,,,,,,,,
/user/watchmojoespanol,WatchMojo Español,2020/08/28,,,,,,,,
/user/ForneverWorld,ForneverWorld,2020/08/28,,,,,,,,
/channel/UCdJyz1EnhKPM0XC0DK9979A,サク【漫画・アニメ解説】,2020/08/28,,,,,,,,
/channel/UCC-x56RCx0xT-5ARTaRZFoQ,Best Anime Moments Of All Time,2020/08/28,,,,,,,,
/channel/UCfslG4MhMYZH5zqdceHuwFw,IchigoBladesTV,2020/08/28,,,,,,,,
/user/amminox1,Fidus,2020/08/28,,,,,,,,
/user/solo880,BLEACH ICHIGO,2020/08/28,,,,,,,,
/channel/UC_yqbSJRjGbp-vhWNNuO-MQ,Saeko Leonhardt,2020/08/28,,,,,,,,
/user/TheDanocracy,TheDanocracy,2020/08/28,,,,,,,,
/channel/UCyHzuI5sqmtfrV-2SzZz5HQ,Lord Aizen,2020/08/28,,,,,,,,
/channel/UCIgXdpjA_ADQrRmudLd-f5Q,KANJIC,2020/08/28,,,,,,,,
/channel/UCd21m0AHf4Vx88Znty7v4Cw,ViniiTube,2020/08/28,,,,,,,,
/user/CBSDFW,CBSDFW,2020/08/28,,,,,,,,
/channel/UChK6vdNwh_EAZSw1JdUlH4Q,AudioCloud,2020/08/28,,,,,,,,
/user/filmisnow,FilmIsNow Movie Trailers,2020/08/28,,,,,,,,
/channel/UCtGoikgbxP4F3rgI9PldI9g,Super Eyepatch Wolf,2020/08/28,,,,,,,,
/channel/UCsfcfZEZULQ9rQINhhNpAPw,Donmaui,2020/08/28,,,,,,,,
/channel/UCvzo5ikSlnhjtcwQ7fSZI5g,月島さん,2020/08/28,,,,,,,,
/user/SRDUDE23,Nerd Clips HD,2020/08/28,,,,,,,,
/channel/UCFLnwFhuJeBSCjIJewxSqKw,BROCKHAMPTON,2020/08/28,,,,,,,,
/user/NoneLikeJoshua,None Like Joshua,2020/08/28,,,,,,,,
/channel/UC-C2AyHjzYxGPzfUET4D47w,Manga Trash,2020/08/28,,,,,,,,
/channel/UCsDrQ3XfITxO6Fl99O8a2pw,Tokyosaurus,2020/08/28,,,,,,,,
/channel/UC1TlBkeVWI4Y0cbLZ0RAtCA,MysticSage,2020/08/28,,,,,,,,
/channel/UC0a9WSHZGg2LX6trQ70R4IQ,DreamAway,2020/08/28,,,,,,,,
/channel/UCQ0rE-bxmi6Vl09ARe7qROw,Odin Makes,2020/08/28,,,,,,,,
/user/SpinefarmRec,SpinefarmRec,2020/08/28,,,,,,,,
/user/01032010814,The King of Random,2020/08/28,,,,,,,,
/channel/UCEn0okliiDAW7U2zEVpv2GQ,MySuperways,2020/08/28,,,,,,,,
/channel/UCsnwbt4tbR83thLw7a3wHIA,Ichigo Uzumaki,2020/08/28,,,,,,,,
/user/daichi19921217,当たり屋サブCH,2020/08/28,,,,,,,,
/channel/UCMGd2CJgU3oNA1z0_Pb83eA,Super Style Tips,2020/08/28,,,,,,,,
/user/shonenjumpofficial,shonenjump_official,2020/08/28,,,,,,,,
/user/lovenstamps,Meg Loven,2020/08/28,,,,,,,,
/user/MusicIsMeDavid7992,MusicIsMeDavid7992,2020/08/28,,,,,,,,
/user/matrksinw,MATRIX FanAnimation,2020/08/28,,,,,,,,
/channel/UCxL5Ri_QMp9DzFCe-HvwQag,Jessa Mae Layno,2020/08/28,,,,,,,,
/user/JennaMarbles,JennaMarbles,2020/08/28,,,,,,,,
/channel/UC_WwKmNSVsdPoCrX_Esp8mQ,Tio Grimmjow,2020/08/28,,,,,,,,
/user/Refinery29TV,Refinery29,2020/08/28,,,,,,,,
/user/CarmmyxP,heycarmen,2020/08/28,,,,,,,,
/channel/UCfG1-RP4UR3Bj8MeNPseFGg,Amara Javed,2020/08/28,,,,,,,,
/channel/UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show with Trevor Noah,2020/08/28,,,,,,,,
/channel/UCz-l_-yehHYgyKsb5IWa5QA,Anime Vietsub TV - Team Favorite Anime,2020/08/28,,,,,,,,
/channel/UCego68_MHLCG7lCXu_q7kfA,Sport Guy,2020/08/28,,,,,,,,
/channel/UCDqOl5pgwFLrz1eixE8hMaQ,NZED Anime,2020/08/28,,,,,,,,
/channel/UCsIS0AJ04TAQ-qyj8qdF3ag,Akinos,2020/08/28,,,,,,,,
/channel/UCMQCxP-Lxam64h4BIyRdRfg,Sutton and Grove,2020/08/28,,,,,,,,
/channel/UCt-am4x4ZyeohfgM85qFgdQ,elliegoulding,2020/08/28,,,,,,,,
