turn_id,title,video_url,view,channel_url,channel_name,video_length,create_stamp,queriy,scrape_at,channel_country,channel_subscriber,mean_view,create_at,tag,description,like,dislike
168,竟然有Minecraft版的JoJo!【JoJo的奇妙冒險】,/watch?v=Ex_-sf_qGZE,219,/channel/UCJ7FT8U7mWUf6J1NZnn9yvg,物主,4 分 38 秒,2 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
169,Coda / JoJo的奇妙冒險 黃金之風OP / JoJo's Bizarre Adventure:Golden Wind OP - Fighting Gold 【Hand Cover】,/watch?v=bcMzIEnli54,31673,/user/daviv1234,White Noizi 白造音,1 分 31 秒,7 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
171,[紅石音樂] JOJO的奇妙冒險 黃金之風 處刑曲,/watch?v=Q-_5uvrB7CU,8754,/channel/UCE5df4KnBdI_PuN7RxJ96mg,米腸,55 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
178,【HowHow ver.】JOJO的奇妙冒險 反叛者的鎮魂曲Uragirimono no Requiem｜黃金之風 OP 2,/watch?v=8A03_52K30A,22127,/channel/UCypX-oXfJgIYyuzjVdk0Gpg,修但幾咧,1 分 32 秒,2 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
182,【空耳】JOJO的奇妙冒險 黃金之風OP Fighting Gold,/watch?v=bCmaZ3UuZ7I,95099,/channel/UCXNQIpeJM4I4qhrI0zn-Qsg,腦殘化BANDIT,1 分 38 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
185,荒謬｜荒木飛呂彥的奇妙冒險｜【栞詩-1】,/watch?v=qMcvx2Pr5qM,672,/channel/UC-vm46n-_TB5OcZmDbr9DRQ,墨栞-Blackbookmarks,1 分 15 秒,2 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
190,JOJO的奇妙冒險第四季-不滅鑽石 op piano(鋼琴)版,/watch?v=hPw8pnN63cs,770,/channel/UC7LQAvLutFhDSKR7gKHUCxA,藍雷Lanlei,1 分 38 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
192,【JOJO的奇妙手書】拼湊的斷音/ツギハギスタッカート（承花/JK）,/watch?v=VdUH0GHT864,37048,/channel/UCAM7F-BIJW151ig72G0JOkA,沈鶴,1 分 32 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
197,取得「JOJO的奇妙冒險：不滅鑽石 Q posket-岸辺露伴-（岸辺露伴Ａ、岸辺露伴Ｂ） B」了！,/watch?v=sH0OcfDrfY8,8,/channel/UCTVchHKI_55sGlK4h4ksK7w,ken Chiang,22 秒,1 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
202,Stars' Journey2-JOJO的奇妙冒險ONLY 場後jojo體操（練習）,/watch?v=biSt0gm47F0,167,/channel/UCl7ilnYsoIcvo6cv9Kz8Y0A,Nanazu .7,3 分 9 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
